name,date,country,genre,rating,rating_count,kind,link,subscription,audio,subtitles,description
24 снега,2015,Россия,документальный,7.8,338,film,https://www.kinopoisk.ru/film/1006642/,По подписке Плюс,0,0,0
Как это делается в Америке,2010–2011,США,"драма, комедия",7.8,6991,serial,https://www.kinopoisk.ru/film/427452/,По подписке Плюс Мульти с Амедиатекой,0,0,0
Тренировочный день,2001,США,"триллер, драма",7.8,87444,film,https://www.kinopoisk.ru/film/863/,online,0,0,0
Охотники за бриллиантами,2011,Россия,детектив,7.8,14176,film,https://www.kinopoisk.ru/film/511363/,По подписке Плюс,0,0,0
Выживший,2015,"США, Гонконг","приключения, вестерн",7.8,327981,film,https://www.kinopoisk.ru/film/522941/,По подписке Плюс,0,0,0
"Я, робот",2004,"США, Германия","фантастика, боевик",7.8,311417,film,https://www.kinopoisk.ru/film/4886/,По подписке Плюс,0,0,0
Алиса в стране чудес,1981,СССР,"мультфильм, детский",7.8,10973,film,https://www.kinopoisk.ru/film/43457/,По подписке Плюс,0,0,0
Сорок первый,1956,СССР,"драма, мелодрама",7.8,6748,film,https://www.kinopoisk.ru/film/43922/,По подписке Плюс,0,0,0
Годы,2019,Великобритания,"фантастика, драма",7.8,10744,film,https://www.kinopoisk.ru/film/1208544/,По подписке Плюс с more.tv,0,0,0
События прошедшей недели с Джоном Оливером,2014–,США,"новости, ток-шоу",7.8,496,serial,https://www.kinopoisk.ru/film/839427/,По подписке Плюс Мульти с Амедиатекой,0,0,0
Гетто,2005–2014,"США, Корея Южная","мультфильм, драма",7.8,9637,serial,https://www.kinopoisk.ru/film/401157/,По подписке Плюс,0,0,0
Простая история,1999,"США, Франция","драма, биография",7.8,26772,film,https://www.kinopoisk.ru/film/442/,По подписке Плюс,0,0,0
Английский пациент,1996,"США, Великобритания","драма, мелодрама",7.8,45505,film,https://www.kinopoisk.ru/film/7636/,online,0,0,0
Мисс Марпл: Тело в библиотеке,1984–1984,"Великобритания, США","драма, криминал",7.8,2600,serial,https://www.kinopoisk.ru/film/251719/,По подписке Плюс,0,0,0
Чуддики,2016,"Великобритания, Сингапур","мультфильм, комедия",7.8,718,film,https://www.kinopoisk.ru/film/1046655/,По подписке Плюс,0,0,0
Рок-н-рольщик,2008,"Великобритания, США","криминал, боевик",7.8,230783,film,https://www.kinopoisk.ru/film/378140/,По подписке Плюс,0,0,0
Меломанка,2020–2020,США,"мелодрама, комедия",7.8,34067,serial,https://www.kinopoisk.ru/film/1165440/,По подписке Плюс,0,0,0
«V» значит Вендетта,2006,"Великобритания, Германия","фантастика, боевик",7.8,212857,film,https://www.kinopoisk.ru/film/86208/,online,0,0,0
Кто подставил кролика Роджера,1988,"США, Великобритания","мультфильм, фэнтези",7.8,90342,film,https://www.kinopoisk.ru/film/7108/,online,0,0,0
Черный клевер,2017,Япония,"аниме, мультфильм",7.8,18787,film,https://www.kinopoisk.ru/film/1049731/,По подписке Плюс,0,0,0
Брат,2016,Корея Южная,"драма, комедия",7.8,5380,film,https://www.kinopoisk.ru/film/1006695/,По подписке Плюс,0,0,0
Жизнь Пи,2012,"США, Тайвань","фэнтези, драма",7.8,248313,film,https://www.kinopoisk.ru/film/158786/,По подписке Плюс,0,0,0
Наследство волшебника Бахрама,1975,СССР,"мультфильм, детский",7.8,1881,film,https://www.kinopoisk.ru/film/46345/,По подписке Плюс,0,0,0
Прерванная жизнь,1999,"США, Германия","драма, биография",7.8,76465,film,https://www.kinopoisk.ru/film/5058/,По подписке Плюс,0,0,0
Тяжелый понедельник,2013–2013,США,драма,7.8,3710,serial,https://www.kinopoisk.ru/film/666942/,По подписке Плюс,0,0,0
История игрушек: Большой побег,2010,США,"мультфильм, фэнтези",7.8,190319,film,https://www.kinopoisk.ru/film/258328/,По подписке Плюс,0,0,0
Пила: Игра на выживание,2004,США,"ужасы, триллер",7.8,153836,film,https://www.kinopoisk.ru/film/64187/,online,0,0,0
Дважды рожденный,1983,СССР,"драма, военный",7.8,2330,film,https://www.kinopoisk.ru/film/44344/,По подписке Плюс,0,0,0
Шоколад,2000,"Великобритания, США","драма, мелодрама",7.8,95277,film,https://www.kinopoisk.ru/film/636/,online,0,0,0
Кулак ярости,1972,Гонконг,"боевик, триллер",7.8,12022,film,https://www.kinopoisk.ru/film/24747/,По подписке Плюс,0,0,0
Робин Уильямс: Загляни в мою душу,2018,США,"документальный, комедия",7.8,1902,film,https://www.kinopoisk.ru/film/1111391/,По подписке Плюс Мульти с Амедиатекой,0,0,0
Проспект Бразилии,2012–2012,Бразилия,"драма, мелодрама",7.8,9038,serial,https://www.kinopoisk.ru/film/673465/,По подписке Плюс,0,0,0
Усатый нянь,1977,СССР,"комедия, семейный",7.8,29410,film,https://www.kinopoisk.ru/film/42535/,По подписке Плюс,0,0,0
Родители года,2020–,"Великобритания, США","драма, комедия",7.8,23132,serial,https://www.kinopoisk.ru/film/1130970/,По подписке Плюс,0,0,0
Правосудие,2010–2015,США,"боевик, триллер",7.8,4290,serial,https://www.kinopoisk.ru/film/500600/,online,0,0,0
Лабиринт,1971,СССР,"мультфильм, фэнтези",7.8,2726,film,https://www.kinopoisk.ru/film/224297/,По подписке Плюс,0,0,0
Герои,2006–2010,США,"фантастика, фэнтези",7.8,73631,serial,https://www.kinopoisk.ru/film/271748/,По подписке Плюс,0,0,0
Безумный Макс: Дорога ярости,2015,"Австралия, ЮАР","боевик, фантастика",7.8,323804,film,https://www.kinopoisk.ru/film/453406/,online,0,0,0
Дежа вю,1989,"Польша, СССР","комедия, криминал",7.8,13081,film,https://www.kinopoisk.ru/film/44394/,По подписке Плюс,0,0,0
Спасти планету,2016,США,"документальный, новости",7.8,6535,film,https://www.kinopoisk.ru/film/1002696/,online,0,0,0
Хочу жить в зоопарке,2017,Россия,"мультфильм, комедия",7.8,1460,film,https://www.kinopoisk.ru/film/1114396/,По подписке Плюс,0,0,0
Безрассудно влюблённые,2016,Корея Южная,"мелодрама, комедия",7.8,5595,film,https://www.kinopoisk.ru/film/984320/,По подписке Плюс,0,0,0
Воспоминания о Марни,2014,Япония,"аниме, мультфильм",7.8,12540,film,https://www.kinopoisk.ru/film/817623/,online,0,0,0
